GeneSymbol,Cluster
Adar,3
Apol6,9
Arid5b,3
Arl4a,8
Auts2,2
B2m,7
Bank1,2
Batf2,0
Bpgm,8
Bst2,1
Btg1,1
C1s1,1
Casp1,2
Casp3,8
Casp4,8
Casp7,8
Casp8,6
Ccl5,6
Ccl7,4
Ccrl2,6
Cd274,1
Cd38,6
Cd40,8
Cd47,3
Cd69,2
Cd74,7
Cd86,2
Cdkn1a,3
Cfb,1
Cfh,7
Ciita,6
Cmklr1,1
Cmpk2,1
Cmtr1,2
Cnp,6
Csf1,3
Cxcl10,0
Cxcl11,4
Cxcl9,4
Ddx60,0
Dhx58,0
Eif2ak2,3
Eif4e3,6
Elf1,3
Epsti1,0
Fas,8
Fcgr1,0
Fgl2,1
Fpr1,2
Gbp3,1
Gch1,8
Gmpr,2
Gpr18,2
Gzma,6
H2-Aa,1
H2-DMa,6
Helz2,1
Herc6,3
Hif1a,1
Icam1,7
Ido1,4
Ifi27,8
Ifi30,3
Ifi35,6
Ifi44,1
Ifi44l,0
Ifih1,1
Ifit2,1
Ifit3,1
Ifitm1,6
Ifitm2,1
Ifitm3,7
Ifnar2,3
Il10ra,6
Il15,2
Il15ra,2
Il18bp,0
Il2rb,6
Il4ra,1
Il6,9
Il7,2
Irf1,1
Irf2,3
Irf4,2
Irf5,6
Irf7,1
Irf8,3
Irf9,3
Isg15,1
Isg20,6
Isoc1,3
Itgb7,6
Jak2,3
Lamp3,7
Lap3,3
Lats2,3
Lcp2,6
Lgals3bp,7
Lpar6,2
Ly6e,7
Lysmd2,8
Mettl7b,5
Mov10,6
Mthfd2,2
Mvb12a,8
Mvp,3
Mx2,0
Myd88,3
Nampt,1
Ncoa3,3
Ncoa7,6
Nfkb1,3
Nfkbia,1
Nlrc5,0
Nmi,6
Nod1,3
Nub1,3
Nup93,8
Oas1a,0
Oas2,0
Oas3,0
Oasl1,0
Ogfr,3
P2ry14,8
Parp12,3
Parp14,1
Parp9,1
Pde4b,3
Peli1,3
Pfkp,3
Pim1,6
Pla2g4a,8
Plscr1,6
Pml,3
Pnp,3
Pnpt1,8
Procr,2
Psma2,3
Psma3,3
Psmb10,3
Psmb2,6
Psmb8,3
Psmb9,6
Psme1,3
Psme2,3
Ptgs2,8
Ptpn1,3
Ptpn2,8
Ptpn6,3
Rapgef6,3
Rbck1,3
Ripk1,3
Ripk2,8
Rnf31,6
Rsad2,1
Rtp4,1
Samd9l,1
Samhd1,7
Sectm1a,9
Sell,6
Selp,2
Serping1,7
Slamf7,0
Slc25a28,8
Socs1,0
Socs3,3
Sod2,3
Sp110,6
Sppl2a,1
Sri,3
Sspn,8
St3gal5,8
St8sia4,3
Stat1,7
Stat2,1
Stat3,3
Stat4,2
Tap1,1
Tapbp,7
Tdrd7,3
Tmem140,3
Tnfaip2,3
Tnfaip3,6
Tnfaip6,9
Tnfsf10,1
Tor1b,8
Trafd1,3
Trim12c,3
Trim14,8
Trim21,6
Trim25,1
Trim26,3
Txnip,7
Uba7,3
Ube2l6,3
Upp1,8
Usp18,0
Vamp5,8
Vamp8,3
Vcam1,1
Xaf1,6
Xcl1,9
Zbp1,0
Znfx1,1
