,Day,Cluster_8_Expression
0,0,1754
1,0,1649
2,0,1424
3,0,1244
4,0,1448
5,0,2056
6,2,828
7,2,627
8,2,1621
9,4,1000
10,4,1794
11,4,2589
12,6,1714
13,6,1714
14,6,1907
15,0,2133
16,0,2221
17,0,1786
18,0,1719
19,0,1796
20,0,3042
21,2,1158
22,2,706
23,2,1492
24,4,971
25,4,2019
26,4,1924
27,6,2050
28,6,769
29,6,1374
30,0,2328
31,0,1934
32,0,1559
33,0,1296
34,0,1193
35,0,2010
36,2,889
37,2,978
38,2,2815
39,4,1896
40,4,2453
41,4,3857
42,6,3161
43,6,2418
44,6,2829
45,0,1064
46,0,775
47,0,697
48,0,463
49,0,354
50,0,764
51,2,720
52,2,856
53,2,2358
54,4,1811
55,4,3032
56,4,4402
57,6,3236
58,6,2788
59,6,2612
60,0,2739
61,0,2205
62,0,1944
63,0,1657
64,0,1649
65,0,2577
66,2,1451
67,2,1292
68,2,3011
69,4,2118
70,4,3429
71,4,4481
72,6,3848
73,6,2851
74,6,3485
75,0,1233
76,0,881
77,0,775
78,0,800
79,0,740
80,0,1107
81,2,697
82,2,800
83,2,2346
84,4,1651
85,4,2385
86,4,3895
87,6,2641
88,6,2248
89,6,2689
90,0,1675
91,0,1507
92,0,1263
93,0,998
94,0,1276
95,0,1545
96,2,863
97,2,757
98,2,1753
99,4,1186
100,4,2061
101,4,3089
102,6,2353
103,6,1813
104,6,2075
105,0,1148
106,0,881
107,0,839
108,0,733
109,0,651
110,0,1360
111,2,948
112,2,939
113,2,2278
114,4,1457
115,4,2384
116,4,3578
117,6,1849
118,6,1392
119,6,1949
120,0,5338
121,0,3813
122,0,3316
123,0,3275
124,0,2631
125,0,4684
126,2,2496
127,2,1410
128,2,3601
129,4,1385
130,4,4012
131,4,2664
132,6,4668
133,6,1303
134,6,2782
135,0,1681
136,0,1570
137,0,1394
138,0,1442
139,0,1659
140,0,2077
141,2,1292
142,2,965
143,2,2131
144,4,1436
145,4,2913
146,4,2980
147,6,2977
148,6,1558
149,6,2097
150,0,1713
151,0,1364
152,0,1153
153,0,1124
154,0,1167
155,0,1830
156,2,1001
157,2,683
158,2,1564
159,4,1173
160,4,1954
161,4,2690
162,6,2042
163,6,1460
164,6,2151
165,0,1915
166,0,1444
167,0,1237
168,0,1143
169,0,1230
170,0,1740
171,2,736
172,2,609
173,2,1441
174,4,951
175,4,1824
176,4,2243
177,6,2252
178,6,1765
179,6,1998
180,0,1060
181,0,695
182,0,781
183,0,665
184,0,536
185,0,951
186,2,553
187,2,771
188,2,1800
189,4,1316
190,4,1696
191,4,2813
192,6,1831
193,6,1581
194,6,1929
195,0,1702
196,0,1347
197,0,1118
198,0,1314
199,0,1252
200,0,1589
201,2,1017
202,2,726
203,2,1742
204,4,1492
205,4,2330
206,4,2676
207,6,2698
208,6,2172
209,6,3066
210,0,1642
211,0,1237
212,0,1531
213,0,1060
214,0,1021
215,0,1566
216,2,1247
217,2,1158
218,2,2996
219,4,1836
220,4,3628
221,4,4492
222,6,2419
223,6,1776
224,6,2112
225,0,1923
226,0,1821
227,0,1309
228,0,1121
229,0,1123
230,0,1566
231,2,1110
232,2,1018
233,2,3146
234,4,1414
235,4,2570
236,4,5545
237,6,2217
238,6,1487
239,6,2329
240,0,2012
241,0,1737
242,0,1256
243,0,1250
244,0,1402
245,0,1890
246,2,1077
247,2,909
248,2,2741
249,4,1712
250,4,3053
251,4,4495
252,6,3216
253,6,2663
254,6,2507
255,0,1033
256,0,1014
257,0,874
258,0,671
259,0,822
260,0,1141
261,2,747
262,2,593
263,2,1620
264,4,965
265,4,1629
266,4,2597
267,6,1632
268,6,1258
269,6,1407
270,0,1218
271,0,1031
272,0,833
273,0,829
274,0,1009
275,0,1284
276,2,839
277,2,541
278,2,1396
279,4,907
280,4,1624
281,4,2245
282,6,1788
283,6,1319
284,6,1520
285,0,3081
286,0,2820
287,0,2472
288,0,2475
289,0,2339
290,0,3537
291,2,1141
292,2,846
293,2,2035
294,4,1140
295,4,1654
296,4,1995
297,6,2310
298,6,986
299,6,1640
300,0,2196
301,0,1840
302,0,1597
303,0,1681
304,0,1873
305,0,2599
306,2,1128
307,2,695
308,2,1805
309,4,1207
310,4,2258
311,4,2382
312,6,2215
313,6,1405
314,6,2036
315,0,2913
316,0,2536
317,0,2051
318,0,1901
319,0,2344
320,0,3281
321,2,1333
322,2,994
323,2,2513
324,4,1799
325,4,2931
326,4,3498
327,6,3020
328,6,1804
329,6,2480
330,0,1813
331,0,1269
332,0,1559
333,0,1263
334,0,965
335,0,1937
336,2,1407
337,2,1595
338,2,3656
339,4,2526
340,4,3691
341,4,5995
342,6,2663
343,6,1790
344,6,2416
345,0,1174
346,0,999
347,0,587
348,0,703
349,0,893
350,0,1394
351,2,628
352,2,590
353,2,1708
354,4,1313
355,4,2107
356,4,3232
357,6,2583
358,6,2025
359,6,1939
360,0,1291
361,0,1180
362,0,916
363,0,867
364,0,1205
365,0,1499
366,2,702
367,2,344
368,2,904
369,4,724
370,4,1183
371,4,1288
372,6,1225
373,6,629
374,6,1052
