,Day,Cluster_9_Expression
0,0,59
1,0,33
2,0,50
3,0,55
4,0,28
5,0,64
6,2,195
7,2,261
8,2,513
9,4,387
10,4,357
11,4,749
12,6,1062
13,6,2108
14,6,1416
15,0,39
16,0,12
17,0,33
18,0,7
19,0,12
20,0,22
21,2,191
22,2,348
23,2,1605
24,4,347
25,4,569
26,4,1791
27,6,369
28,6,233
29,6,172
30,0,8
31,0,11
32,0,9
33,0,2
34,0,8
35,0,12
36,2,92
37,2,198
38,2,461
39,4,507
40,4,563
41,4,1240
42,6,788
43,6,727
44,6,947
45,0,42
46,0,28
47,0,63
48,0,48
49,0,20
50,0,92
51,2,84
52,2,150
53,2,414
54,4,115
55,4,259
56,4,513
57,6,138
58,6,142
59,6,167
60,0,62
61,0,15
62,0,42
63,0,21
64,0,29
65,0,50
66,2,32
67,2,39
68,2,185
69,4,238
70,4,347
71,4,560
72,6,223
73,6,454
74,6,397
